#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
1	ABJAC02	 	Plasmodium	Galliformes	Cracidae	Pipile	Pipile jacutinga	 	Resident	Adult	Captivity	South America	Brazil	Minas Gerais	Pocos de Caldas Scientific & Conservationist Breeder(CPC)	-021°46.98000', -046°37.40000'	5	 	Motta et al 2013	 
2	ABSUP01	 	Haemoproteus	Passeriformes	Sylviidae	Abroscopus	Abroscopus superciliaris	 	Unknown	 	Wild	Asia	China	 	Xinhuikuan	21°35.00000', 101°42.00000'	1	 	Zhang et al 2014	 
3	ABUCUJ01	 	Haemoproteus	Galliformes	Cracidae	Pipile	Pipile cujubi	 	Resident	Adult	Wild	South America	Brazil	Amazonas	Caxiuana	-01°57.00000´, -051°36.00000´	 	 	Fecchio et al 2018b	 
4	ACAED01	H-LIN23,H-LIN24	Haemoproteus	Passeriformes	Nectariniidae	Nectarinia	Nectarinia sperata	 	 	 	Wild	Asia	India	 	 	 	 	 	Ishtiaq et al 2007	 
5	ACAED01	H-LIN23,H-LIN24	Haemoproteus	Passeriformes	Cisticolidae	Prinia	Prinia inornata	 	 	 	Wild	Asia	India	 	 	 	 	 	Ishtiaq et al 2007	 
6	ACAED01	H-LIN23,H-LIN24	Haemoproteus	Passeriformes	Sylviidae	Acrocephalus	Acrocephalus aedon	 	 	 	Wild	Asia	Myanmar	 	 	 	 	 	Ishtiaq et al 2007	 
7	ACAED02	ACAE01	Haemoproteus	Passeriformes	Sylviidae	Acrocephalus	Acrocephalus aedon	 	Migratory	Unknown	Wild	Asia	China	 	Beijing Normal University Campus	39°57.76000', 116°21.46000'	2	2	Huang et al 2015	 
8	ACAED02	ACAE01	Haemoproteus	Passeriformes	Aegithalidae	Aegithalos	Aegithalos caudatus	 	Migratory	Unknown	Wild	Asia	China	 	Xiaolongmen Forest Park	39°57.90000', 115°26.00000'	1	37	Huang et al 2015	 
9	ACAED02	ACAE01	Haemoproteus	Passeriformes	Fringillidae	Emberiza	Emberiza elegans	 	Resident	Unknown	Wild	Asia	China	 	Xiaolongmen Forest Park	39°57.90000', 115°26.00000'	1	42	Huang et al 2015	 
10	ACAED02	ACAE01	Haemoproteus	Passeriformes	Fringillidae	Emberiza	Emberiza pusilla	 	Migratory	Unknown	Wild	Asia	China	 	Beijing Normal University Campus	39°57.76000', 116°21.46000'	1	9	Huang et al 2015	 
11	ACAED02	ACAE01	Haemoproteus	Passeriformes	Paridae	Parus	Parus major	 	Resident	Unknown	Wild	Asia	China	 	Xiaolongmen Forest Park	39°57.90000', 115°26.00000'	5	37	Huang et al 2015	 
